	A 1.1.1.	A 1.1.2.	A 1.1.3.	A 1.1.4.	A 1.2.1.	A 1.2.2.	A 2.1.1.	A 2.1.2.	A 2.1.3.	A 2.1.4.	A 2.2.1.	A 2.2.2.
F 1.1.1.						Medio Plazo	Medio Plazo	Medio Plazo				
F 1.1.2.	Medio Plazo											
F 1.1.3.					Medio Plazo							
F 1.1.4.	Medio Plazo											
F 1.2.1.					Medio Plazo							
F 1.2.2.		Medio Plazo		Medio Plazo								
F 2.1.1.									Medio Plazo			
F 2.1.2.										Medio Plazo		
F 2.1.3.											Medio Plazo	
F 2.1.4.												Medio Plazo
F 2.2.1.			Medio Plazo				Medio Plazo					
F 2.2.2.		Medio Plazo										
