	A 1.1.1.	A 1.1.2.	A 1.1.3.	A 1.1.4.	A 1.2.1.	A 1.2.2.	A 2.1.1.	A 2.1.2.	A 2.1.3.	A 2.1.4.	A 2.2.1.	A 2.2.2.
F 1.1.1.						Irregular o aperiódico y discontinuo	Irregular o aperiódico y discontinuo	Irregular o aperiódico y discontinuo				
F 1.1.2.	Irregular o aperiódico y discontinuo											
F 1.1.3.					Irregular o aperiódico y discontinuo							
F 1.1.4.	Irregular o aperiódico y discontinuo											
F 1.2.1.					Irregular o aperiódico y discontinuo							
F 1.2.2.		Irregular o aperiódico y discontinuo		Irregular o aperiódico y discontinuo								
F 2.1.1.									Irregular o aperiódico y discontinuo			
F 2.1.2.										Irregular o aperiódico y discontinuo		
F 2.1.3.											Irregular o aperiódico y discontinuo	
F 2.1.4.												Irregular o aperiódico y discontinuo
F 2.2.1.			Irregular o aperiódico y discontinuo				Irregular o aperiódico y discontinuo					
F 2.2.2.		Irregular o aperiódico y discontinuo										
