	A 1.1.1.	A 1.1.2.	A 1.1.3.	A 1.1.4.	A 1.2.1.	A 1.2.2.	A 2.1.1.	A 2.1.2.	A 2.1.3.	A 2.1.4.	A 2.2.1.	A 2.2.2.
F 1.1.1.						Mitigable	Mitigable	Mitigable				
F 1.1.2.	Mitigable											
F 1.1.3.					Mitigable							
F 1.1.4.	Mitigable											
F 1.2.1.					Mitigable							
F 1.2.2.		Mitigable		Mitigable								
F 2.1.1.									Mitigable			
F 2.1.2.										Mitigable		
F 2.1.3.											Mitigable	
F 2.1.4.												Mitigable
F 2.2.1.			Mitigable				Mitigable					
F 2.2.2.		Mitigable										
