	A 1.1.1.	A 1.1.2.	A 1.1.3.	A 1.1.4.	A 1.2.1.	A 1.2.2.	A 2.1.1.	A 2.1.2.	A 2.1.3.	A 2.1.4.	A 2.2.1.	A 2.2.2.
F 1.1.1.						Sinérgico	Sinérgico	Sinérgico				
F 1.1.2.	Sinérgico											
F 1.1.3.					Sinérgico							
F 1.1.4.	Sinérgico											
F 1.2.1.					Sinérgico							
F 1.2.2.		Sinérgico		Sinérgico								
F 2.1.1.									Sinérgico			
F 2.1.2.										Sinérgico		
F 2.1.3.											Sinérgico	
F 2.1.4.												Sinérgico
F 2.2.1.			Sinérgico				Sinérgico					
F 2.2.2.		Sinérgico										
